Médecin_ID,Nom,Prénom,Spécialité,Code Postal,Ville,Département,Région
e8c70472-72a3-4823-bd85-2ab054edc524,Allard,Robert,Ophtalmologue,93500,Lefebvre,Manche,Nouvelle-Calédonie
68d1635b-b251-4c6d-925a-89d930b38cf2,Descamps,Aurélie,Dermatologue,95602,Guyon,Seine-Saint-Denis,Réunion
fc54eb4b-492f-4cb2-bde6-04bd2a7f295b,Barre,Marguerite,Généraliste,87583,Camus,Cantal,Île-de-France
872e9b26-8697-42d5-926f-7ac19e53bfe8,Chartier,Alex,Généraliste,54181,Saint Jeanne-sur-Mer,Côtes-d'Armor,Guyane
f961aa19-5562-4326-a599-f44ae3422033,Leleu,Matthieu,Ophtalmologue,18605,Pereira,Ain,Limousin
b9c0630b-48cd-4f8c-9efc-f8375469b163,Legrand,Zoé,Pédiatre,66676,Milletnec,Corrèze,Poitou-Charentes
bf8aab0e-5493-4874-9656-844fbffd899b,Maillet,Julie,Généraliste,19817,GarnierBourg,Landes,Nouvelle-Calédonie
7bae0caa-9d6a-4698-a57b-65e92c676add,Gallet,Eugène,Généraliste,26281,Le Goff,Loire-Atlantique,Guadeloupe
8f8de786-2335-4a5b-b346-13404cd16837,Vincent,Antoinette,Cardiologue,41790,Lemonnier,Seine-et-Marne,Aquitaine
efbf87ea-594a-46b8-b334-c872a3f39c1c,Paris,Alex,Ophtalmologue,84705,Delormenec,Haut-Rhin,Haute-Normandie
c7841e0e-257d-49ab-beaa-4bdc00ab4fd6,Chauvin,Capucine,Ophtalmologue,10052,Sainte Madeleinenec,Bas-Rhin,Guyane
903d5eb2-a713-4fee-bff4-22ac652f2363,Bodin,Émile,Dermatologue,88142,Legrosdan,Hautes-Alpes,Basse-Normandie
118dd773-4f64-4318-8bea-d8d9021535ea,Nguyen,Stéphane,Pédiatre,56018,Charriernec,Loiret,Polynésie française
0f2853e7-2855-4404-95f3-7860c1c1f9fa,Marin,Franck,Dermatologue,84823,Jacquotnec,Vendée,Champagne-Ardenne
b3e8624d-01d7-4b13-8388-ac7df694da7d,Chevalier,Auguste,Pédiatre,81409,Besnard,Vendée,Réunion
